accuracy,loss,val_accuracy,val_loss,learning_rate
0.6276509165763855,27.189292907714844,0.5522875785827637,4.196153163909912,0.0010000000474974513
0.8123980164527893,3.4794368743896484,0.7124183177947998,3.4461286067962646,0.0010000000474974513
0.8650081753730774,2.8527936935424805,0.7189542651176453,3.0023202896118164,0.0010000000474974513
0.8829526901245117,2.434796094894409,0.7189542651176453,2.72493839263916,0.0010000000474974513
0.901305079460144,2.1081905364990234,0.7140522599220276,2.4703032970428467,0.0010000000474974513
0.9074224829673767,1.8430191278457642,0.7385621070861816,2.231731653213501,0.0010000000474974513
0.9082381725311279,1.6523083448410034,0.7647058963775635,2.07254695892334,0.0010000000474974513
0.9245513677597046,1.4694806337356567,0.7565359473228455,1.9247442483901978,0.0010000000474974513
0.9131321310997009,1.352807879447937,0.7614378929138184,1.8617360591888428,0.0010000000474974513
0.9347471594810486,1.2251944541931152,0.779411792755127,1.775033950805664,0.0010000000474974513
